Category,Supplier,Sell Price,Buy Cost,Shipping Cost,Fee %,Ad Cost,Units,Revenue,Product Cost,Shipping Total,Fees Cost,Refund Flag,Refund Cost,Total Cost,Net Profit,Margin %,ROAS,Order Status
Kitchen,Foshan Appliances,$54.27,$16.37,$5.64,$0.03,$6.77,$1.00,$54.27,$16.37,$5.64,$1.63,No,$0.00,$30.41,$23.86,44.0%,8.02,Delivered
Lifestyle,Shenzhen Smart Home,$35.47,$9.75,$4.32,$0.03,$21.19,$3.00,$106.41,$29.25,$12.96,$3.19,No,$0.00,$66.59,$39.82,37.4%,5.02,Delivered
Kitchen,Foshan Appliances,$54.78,$15.40,$5.62,$0.03,$6.27,$1.00,$54.78,$15.40,$5.62,$1.64,No,$0.00,$28.93,$25.85,47.2%,8.74,Delivered
Kitchen,Foshan Appliances,$51.92,$16.33,$6.21,$0.03,$14.94,$2.00,$103.84,$32.66,$12.42,$3.12,No,$0.00,$63.14,$40.70,39.2%,6.95,Delivered
Home Decor,Yiwu Lighting Factory,$25.93,$5.75,$3.77,$0.03,$5.08,$1.00,$25.93,$5.75,$3.77,$0.78,No,$0.00,$15.38,$10.55,40.7%,5.10,Delivered
Electronics,Shenzhen Audio Co.,$40.53,$8.36,$3.78,$0.03,$4.65,$1.00,$40.53,$8.36,$3.78,$1.22,Yes,$32.78,$50.79,-$10.26,-25.3%,8.72,Refunded
Electronics,Shenzhen Audio Co.,$39.75,$8.64,$4.31,$0.03,$14.04,$2.00,$79.50,$17.28,$8.62,$2.39,No,$0.00,$42.33,$37.17,46.8%,5.66,Delivered
Electronics,Shenzhen Print Tech,$63.64,$21.30,$7.99,$0.03,$1.03,$1.00,$63.64,$21.30,$7.99,$1.91,No,$0.00,$32.23,$31.41,49.4%,61.79,Delivered
Accessories,Guangzhou Cases Ltd.,$13.65,$1.92,$1.99,$0.03,$7.38,$1.00,$13.65,$1.92,$1.99,$0.41,No,$0.00,$11.70,$1.95,14.3%,1.85,Delivered
Pets,Yiwu Pet Products,$19.09,$3.69,$2.44,$0.03,$18.17,$2.00,$38.18,$7.38,$4.88,$1.15,No,$0.00,$31.58,$6.60,17.3%,2.10,Delivered
Lifestyle,Shenzhen Smart Home,$36.67,$9.54,$4.49,$0.03,$0.00,$3.00,$110.01,$28.62,$13.47,$3.30,No,$0.00,$45.39,$64.62,58.7%,0.00,Delivered
Beauty,Ningbo Beauty Supply,$28.35,$7.19,$4.60,$0.03,$18.08,$2.00,$56.70,$14.38,$9.20,$1.70,No,$0.00,$43.36,$13.34,23.5%,3.14,Delivered
Electronics,Shenzhen Print Tech,$66.40,$22.96,$7.46,$0.03,$9.00,$1.00,$66.40,$22.96,$7.46,$1.99,No,$0.00,$41.41,$24.99,37.6%,7.38,Delivered
Pets,Yiwu Pet Products,$20.88,$3.49,$2.84,$0.03,$19.99,$2.00,$41.76,$6.98,$5.68,$1.25,No,$0.00,$33.90,$7.86,18.8%,2.09,Delivered
Fitness,Hangzhou Health Gear,$33.22,$9.69,$4.50,$0.03,$5.26,$1.00,$33.22,$9.69,$4.50,$1.00,No,$0.00,$20.45,$12.77,38.4%,6.32,Delivered
Electronics,Shenzhen Print Tech,$58.84,$22.99,$6.31,$0.03,$0.00,$2.00,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,$0.00,0.0%,0.00,Cancelled
Pets,Yiwu Pet Products,$18.70,$3.57,$2.72,$0.03,$5.43,$1.00,$18.70,$3.57,$2.72,$0.56,No,$0.00,$12.28,$6.42,34.3%,3.44,Delivered
Pets,Yiwu Pet Products,$20.26,$3.64,$2.77,$0.03,$13.93,$2.00,$40.52,$7.28,$5.54,$1.22,No,$0.00,$27.97,$12.55,31.0%,2.91,Delivered
Electronics,Shenzhen Audio Co.,$42.37,$8.15,$4.21,$0.03,$19.88,$2.00,$84.74,$16.30,$8.42,$2.54,No,$0.00,$47.14,$37.60,44.4%,4.26,Delivered
Pets,Yiwu Pet Products,$18.99,$3.46,$2.26,$0.03,$8.99,$1.00,$18.99,$3.46,$2.26,$0.57,No,$0.00,$15.28,$3.71,19.5%,2.11,Delivered
Electronics,Shenzhen Audio Co.,$37.69,$8.90,$4.07,$0.03,$3.79,$1.00,$37.69,$8.90,$4.07,$1.13,No,$0.00,$17.89,$19.80,52.5%,9.94,Delivered
Accessories,Guangzhou Cases Ltd.,$16.33,$1.94,$2.11,$0.03,$8.72,$1.00,$16.33,$1.94,$2.11,$0.49,No,$0.00,$13.26,$3.07,18.8%,1.87,Delivered
Home Decor,Yiwu Lighting Factory,$27.34,$5.90,$3.94,$0.03,$7.77,$1.00,$27.34,$5.90,$3.94,$0.82,No,$0.00,$18.43,$8.91,32.6%,3.52,Delivered
Kitchen,Foshan Appliances,$52.38,$16.71,$6.62,$0.03,$5.66,$1.00,$52.38,$16.71,$6.62,$1.57,No,$0.00,$30.56,$21.82,41.7%,9.25,Delivered
Electronics,Shenzhen Audio Co.,$36.81,$8.20,$4.05,$0.03,$10.43,$1.00,$36.81,$8.20,$4.05,$1.10,No,$0.00,$23.78,$13.03,35.4%,3.53,Delivered
Automotive,Dongguan Auto Tools,$40.84,$13.90,$7.28,$0.03,$0.00,$3.00,$122.52,$41.70,$21.84,$3.68,No,$0.00,$67.22,$55.30,45.1%,0.00,Delivered
Kitchen,Foshan Appliances,$54.48,$17.14,$6.16,$0.03,$6.11,$1.00,$54.48,$17.14,$6.16,$1.63,No,$0.00,$31.04,$23.44,43.0%,8.92,Delivered
Pets,Yiwu Pet Products,$18.30,$3.37,$2.84,$0.03,$7.66,$1.00,$18.30,$3.37,$2.84,$0.55,No,$0.00,$14.42,$3.88,21.2%,2.39,Delivered
Electronics,Shenzhen Print Tech,$65.16,$22.87,$7.70,$0.03,$9.60,$1.00,$65.16,$22.87,$7.70,$1.95,No,$0.00,$42.12,$23.04,35.4%,6.79,Delivered
Accessories,Guangzhou Cases Ltd.,$16.37,$1.97,$1.94,$0.03,$6.64,$1.00,$16.37,$1.97,$1.94,$0.49,No,$0.00,$11.04,$5.33,32.6%,2.47,Delivered
Fitness,Hangzhou Health Gear,$31.53,$9.42,$3.83,$0.03,$3.72,$1.00,$31.53,$9.42,$3.83,$0.95,No,$0.00,$17.92,$13.61,43.2%,8.48,Delivered
Pets,Yiwu Pet Products,$20.61,$3.52,$2.27,$0.03,$3.38,$1.00,$20.61,$3.52,$2.27,$0.62,No,$0.00,$9.79,$10.82,52.5%,6.10,Delivered
Lifestyle,Shenzhen Smart Home,$36.88,$10.32,$3.82,$0.03,$8.80,$1.00,$36.88,$10.32,$3.82,$1.11,Yes,$21.52,$45.57,-$8.69,-23.6%,4.19,Refunded
Kitchen,Foshan Appliances,$46.93,$15.82,$5.58,$0.03,$3.01,$3.00,$140.79,$47.46,$16.74,$4.22,No,$0.00,$71.43,$69.36,49.3%,46.77,Delivered
Electronics,Shenzhen Print Tech,$64.68,$23.18,$6.51,$0.03,$24.80,$3.00,$194.04,$69.54,$19.53,$5.82,No,$0.00,$119.69,$74.35,38.3%,7.82,Delivered
Electronics,Shenzhen Audio Co.,$37.74,$8.81,$4.31,$0.03,$17.49,$2.00,$75.48,$17.62,$8.62,$2.26,No,$0.00,$45.99,$29.49,39.1%,4.32,Delivered
Home Decor,Yiwu Lighting Factory,$25.91,$5.90,$3.77,$0.03,$7.43,$2.00,$51.82,$11.80,$7.54,$1.55,No,$0.00,$28.32,$23.50,45.3%,6.97,Delivered
Lifestyle,Shenzhen Smart Home,$33.95,$10.78,$3.86,$0.03,$4.20,$1.00,$33.95,$10.78,$3.86,$1.02,No,$0.00,$19.86,$14.09,41.5%,8.08,Delivered
Beauty,Ningbo Beauty Supply,$31.08,$7.33,$4.66,$0.03,$26.99,$3.00,$93.24,$21.99,$13.98,$2.80,No,$0.00,$65.76,$27.48,29.5%,3.45,Delivered
Beauty,Ningbo Beauty Supply,$29.04,$7.20,$4.72,$0.03,$6.48,$1.00,$29.04,$7.20,$4.72,$0.87,No,$0.00,$19.27,$9.77,33.6%,4.48,Delivered
Automotive,Dongguan Auto Tools,$47.62,$14.84,$6.87,$0.03,$9.42,$1.00,$47.62,$14.84,$6.87,$1.43,No,$0.00,$32.56,$15.06,31.6%,5.06,Delivered
Electronics,Shenzhen Audio Co.,$44.22,$8.43,$4.24,$0.03,$25.02,$3.00,$132.66,$25.29,$12.72,$3.98,No,$0.00,$67.01,$65.65,49.5%,5.30,Delivered
Pets,Yiwu Pet Products,$21.74,$3.76,$2.52,$0.03,$5.93,$2.00,$43.48,$7.52,$5.04,$1.30,No,$0.00,$19.79,$23.69,54.5%,7.33,Delivered
Automotive,Dongguan Auto Tools,$43.99,$13.37,$7.44,$0.03,$8.45,$1.00,$43.99,$13.37,$7.44,$1.32,No,$0.00,$30.58,$13.41,30.5%,5.21,Delivered
Accessories,Guangzhou Cases Ltd.,$13.91,$2.01,$1.92,$0.03,$0.00,$1.00,$13.91,$2.01,$1.92,$0.42,No,$0.00,$4.35,$9.56,68.7%,0.00,Delivered
Electronics,Shenzhen Print Tech,$60.45,$20.98,$7.16,$0.03,$7.66,$2.00,$120.90,$41.96,$14.32,$3.63,No,$0.00,$67.57,$53.33,44.1%,15.78,Delivered
Accessories,Guangzhou Cases Ltd.,$15.06,$1.91,$2.03,$0.03,$0.00,$1.00,$15.06,$1.91,$2.03,$0.45,No,$0.00,$4.39,$10.67,70.8%,0.00,Delivered
Fitness,Hangzhou Health Gear,$33.59,$9.36,$3.89,$0.03,$10.63,$3.00,$100.77,$28.08,$11.67,$3.02,No,$0.00,$53.40,$47.37,47.0%,9.48,Delivered
Pets,Yiwu Pet Products,$19.70,$3.64,$2.60,$0.03,$1.94,$1.00,$19.70,$3.64,$2.60,$0.59,No,$0.00,$8.77,$10.93,55.5%,10.15,Delivered
Lifestyle,Shenzhen Smart Home,$31.62,$10.74,$4.47,$0.03,$5.48,$1.00,$31.62,$10.74,$4.47,$0.95,No,$0.00,$21.64,$9.98,31.6%,5.77,Delivered
Home Decor,Yiwu Lighting Factory,$23.51,$6.33,$3.28,$0.03,$4.32,$3.00,$70.53,$18.99,$9.84,$2.12,No,$0.00,$35.27,$35.26,50.0%,16.33,Delivered
Home Decor,Yiwu Lighting Factory,$25.13,$6.17,$3.71,$0.03,$0.00,$1.00,$25.13,$6.17,$3.71,$0.75,No,$0.00,$10.63,$14.50,57.7%,0.00,Delivered
Fitness,Hangzhou Health Gear,$33.10,$9.06,$4.13,$0.03,$8.79,$1.00,$33.10,$9.06,$4.13,$0.99,No,$0.00,$22.97,$10.13,30.6%,3.77,Delivered
Accessories,Guangzhou Cases Ltd.,$16.06,$2.14,$2.05,$0.03,$6.31,$1.00,$16.06,$2.14,$2.05,$0.48,No,$0.00,$10.98,$5.08,31.6%,2.55,Delivered
Automotive,Dongguan Auto Tools,$45.67,$14.42,$6.42,$0.03,$2.08,$1.00,$45.67,$14.42,$6.42,$1.37,Yes,$23.81,$48.10,-$2.43,-5.3%,21.96,Refunded
Electronics,Shenzhen Audio Co.,$41.14,$9.15,$4.02,$0.03,$11.41,$2.00,$82.28,$18.30,$8.04,$2.47,No,$0.00,$40.22,$42.06,51.1%,7.21,Delivered
Automotive,Dongguan Auto Tools,$43.19,$14.03,$7.37,$0.03,$1.37,$1.00,$43.19,$14.03,$7.37,$1.30,No,$0.00,$24.07,$19.12,44.3%,31.53,Delivered
Electronics,Shenzhen Audio Co.,$44.11,$8.62,$4.40,$0.03,$0.00,$2.00,$88.22,$17.24,$8.80,$2.65,No,$0.00,$28.69,$59.53,67.5%,0.00,Delivered
Kitchen,Foshan Appliances,$48.92,$16.31,$6.33,$0.03,$0.00,$2.00,$97.84,$32.62,$12.66,$2.94,Yes,$44.67,$92.89,$4.95,5.1%,0.00,Refunded
Home Decor,Yiwu Lighting Factory,$27.36,$5.76,$3.98,$0.03,$9.27,$1.00,$27.36,$5.76,$3.98,$0.82,No,$0.00,$19.83,$7.53,27.5%,2.95,Delivered
Electronics,Shenzhen Print Tech,$66.11,$21.01,$7.92,$0.03,$4.09,$1.00,$66.11,$21.01,$7.92,$1.98,No,$0.00,$35.00,$31.11,47.1%,16.16,Delivered
Automotive,Dongguan Auto Tools,$42.14,$14.42,$6.18,$0.03,$6.19,$1.00,$42.14,$14.42,$6.18,$1.26,No,$0.00,$28.05,$14.09,33.4%,6.81,Delivered
Accessories,Guangzhou Cases Ltd.,$15.75,$2.11,$2.08,$0.03,$9.14,$1.00,$15.75,$2.11,$2.08,$0.47,No,$0.00,$13.80,$1.95,12.4%,1.72,Delivered
Lifestyle,Shenzhen Smart Home,$34.37,$10.41,$4.17,$0.03,$16.47,$2.00,$68.74,$20.82,$8.34,$2.06,No,$0.00,$47.69,$21.05,30.6%,4.17,Delivered
Accessories,Guangzhou Cases Ltd.,$13.62,$2.06,$2.04,$0.03,$3.98,$3.00,$40.86,$6.18,$6.12,$1.23,No,$0.00,$17.51,$23.35,57.1%,10.27,Delivered
Lifestyle,Shenzhen Smart Home,$35.36,$9.56,$4.02,$0.03,$4.44,$1.00,$35.36,$9.56,$4.02,$1.06,No,$0.00,$19.08,$16.28,46.0%,7.96,Delivered
Fitness,Hangzhou Health Gear,$38.55,$9.40,$3.69,$0.03,$3.29,$2.00,$77.10,$18.80,$7.38,$2.31,No,$0.00,$31.78,$45.32,58.8%,23.43,Delivered
Electronics,Shenzhen Audio Co.,$40.13,$8.28,$4.43,$0.03,$0.00,$1.00,$40.13,$8.28,$4.43,$1.20,No,$0.00,$13.91,$26.22,65.3%,0.00,Delivered
Electronics,Shenzhen Audio Co.,$42.89,$8.30,$3.66,$0.03,$5.64,$1.00,$42.89,$8.30,$3.66,$1.29,No,$0.00,$18.89,$24.00,56.0%,7.60,Delivered
Accessories,Guangzhou Cases Ltd.,$14.04,$2.09,$1.96,$0.03,$15.59,$2.00,$28.08,$4.18,$3.92,$0.84,No,$0.00,$24.53,$3.55,12.6%,1.80,Delivered
Fitness,Hangzhou Health Gear,$36.26,$9.63,$4.03,$0.03,$10.44,$1.00,$36.26,$9.63,$4.03,$1.09,No,$0.00,$25.19,$11.07,30.5%,3.47,Delivered
Automotive,Dongguan Auto Tools,$43.82,$14.50,$7.01,$0.03,$18.70,$2.00,$87.64,$29.00,$14.02,$2.63,No,$0.00,$64.35,$23.29,26.6%,4.69,Delivered
Electronics,Shenzhen Audio Co.,$41.55,$8.35,$3.90,$0.03,$6.92,$2.00,$83.10,$16.70,$7.80,$2.49,No,$0.00,$33.91,$49.19,59.2%,12.01,Delivered
Home Decor,Yiwu Lighting Factory,$27.00,$5.89,$3.50,$0.03,$30.12,$3.00,$81.00,$17.67,$10.50,$2.43,No,$0.00,$60.72,$20.28,25.0%,2.69,Delivered
Home Decor,Yiwu Lighting Factory,$23.08,$6.17,$3.79,$0.03,$6.69,$2.00,$46.16,$12.34,$7.58,$1.38,No,$0.00,$27.99,$18.17,39.4%,6.90,Delivered
Lifestyle,Shenzhen Smart Home,$33.25,$10.35,$4.34,$0.03,$15.31,$2.00,$66.50,$20.70,$8.68,$2.00,No,$0.00,$46.69,$19.81,29.8%,4.34,Delivered
Electronics,Shenzhen Audio Co.,$41.49,$8.76,$4.00,$0.03,$4.39,$1.00,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,-$4.39,0.0%,0.00,Cancelled
Automotive,Dongguan Auto Tools,$41.25,$14.16,$6.13,$0.03,$8.59,$1.00,$41.25,$14.16,$6.13,$1.24,No,$0.00,$30.12,$11.13,27.0%,4.80,Delivered
Kitchen,Foshan Appliances,$45.67,$15.66,$6.41,$0.03,$6.63,$2.00,$91.34,$31.32,$12.82,$2.74,No,$0.00,$53.51,$37.83,41.4%,13.78,Delivered
Home Decor,Yiwu Lighting Factory,$25.37,$6.41,$3.52,$0.03,$10.63,$3.00,$76.11,$19.23,$10.56,$2.28,No,$0.00,$42.70,$33.41,43.9%,7.16,Delivered
Beauty,Ningbo Beauty Supply,$30.30,$6.84,$4.26,$0.03,$7.60,$2.00,$0.00,$0.00,$0.00,$0.00,No,$0.00,$0.00,-$7.60,0.0%,0.00,Cancelled
